id,"public_id","title_en","title_cy","description_en","description_cy",parent_id,"created_at","updated_at",ordinal,"image","title_tag_en","title_tag_cy","preview_image",navigation
247,"saving-and-investing","Saving and investing","Cynilo a buddsoddi","How to save money, types of savings account, and getting started with investing","Sut i gynilo arian, mathau o gyfrifon cynilo a rhoi cychwyn arni gyda buddsoddi",NULL,"2012-09-05 15:07:36","2014-07-21 13:37:19",3,"","Investments Advice & Savings Account Rates ","","",1
281,"homes-and-mortgages","Homes and mortgages","Cartrefi a morgeisi","Everything you need to know about buying a home and choosing the right mortgage","Popeth y mae angen i chi ei wybod am brynu cartref a dewis y morgais cywir",NULL,"2012-09-05 15:07:37","2014-07-21 13:36:27",8,"","","","",1
293,"insurance","Insurance","Yswiriant","Help and advice on protecting your family and getting the right home and car insurance","Cymorth a chyngor ynghylch gwarchod eich teulu a chael yr yswiriant cartref a char cywir",NULL,"2012-09-05 15:07:37","2014-07-21 13:36:37",7,"","","","",1
295,"home-insurance","Home insurance","Yswiriant cartref","Find out if you need buildings and contents insurance and get help with choosing the right policy and cover.","Dysgwch a oes arnoch angen yswiriant adeiladau a chynnwys a chael cymorth i ddewis y polisi a sicrwydd cywir.",293,"2012-09-05 15:07:37","2014-09-23 09:52:16",3,"","","",NULL,1
296,"car-insurance","Car insurance","Yswiriant car","Choosing the right level of cover, getting the best deal, and tips for young drivers.","Dewis y lefel warchodaeth gywir, cael y fargen orau, ac awgrymiadau i yrwyr ifanc.",293,"2012-09-05 15:07:37","2014-09-23 09:52:16",1,"","","",NULL,1
297,"travel-insurance","Travel insurance","Yswiriant teithio","Learn how to choose the right level of cover, get the best deal, and how to make a travel insurance claim.","Dysgwch sut i ddewis y lefel gywir o sicrwydd, cael y fargen orau, a sut i wneud hawliad ar yswiriant teithio.",293,"2012-09-05 15:07:37","2014-09-23 09:52:16",6,"","","",NULL,1
301,"pet-insurance","Pet insurance","Yswiriant anifeiliaid anwes","Help with choosing the right pet insurance policy and cover.","Cymorth wrth ddewis y polisi a'r yswiriant cywir ar gyfer anifail anwes.",293,"2012-09-05 15:07:37","2014-09-23 09:52:16",4,NULL,"","",NULL,1
318,"tools-and-calculators","Tools & calculators","Offer a chyfrifianellau","Calculators, letter templates and free printed guides – useful tools and resources to help you","Cyfrifianellau, templedi llythyrau a chanllawiau am ddim – offer ac adnoddau defnyddiol i’ch helpu",NULL,"2012-09-05 15:07:37","2014-08-27 12:41:37",4,"","","","tools-calculators.jpg",0
319,"calculators","Calculators","Cyfrifianellau","Our easy-to-use calculators can help you budget, save and cut back on costs","Gall ein cyfrifianellau hawdd eu defnyddio eich helpu i lunio cyllideb, arbed arian a thorri eich costau",318,"2012-09-05 15:07:37","2014-07-02 13:08:28",1,"","","","",0
320,"comparison-tables","Comparison tables","Tablau cymharu","Our comparison tables are completely unbiased - we are set up by government and don’t receive any incentive or commission if you go on to choose a product","Mae ein tablau cymharu yn gwbl ddiduedd – fe’n sefydlwyd gan y llywodraeth ac nid ydym yn derbyn unrhyw gymhelliant na chomisiwn os ydych yn mynd ymlaen i ddewis cynnyrch",318,"2012-09-05 15:07:37","2014-05-08 11:08:07",5,"","","","",0
321,"letter-templates","Letter templates","Templedi llythyrau","Our easy-to-use letter templates are here to help you if you need to set up, cancel or complain about something","Mae ein templedi llythyrau hawdd eu defnyddio yma i’ch helpu os bydd arnoch angen sefydlu, canslo neu gwyno am rywbeth",318,"2012-09-05 15:07:37","2013-09-24 08:34:53",6,NULL,"","",NULL,0
322,"order-forms","Order forms","Ffurflenni archebu","Use these forms to order our free printed guides, which give you clear, unbiased information and advice in Plain English","Defnyddiwch y ffurflenni hyn i archebu ein canllawiau printiedig am ddim, sy’n rhoi gwybodaeth glir, ddiduedd a chyngor mewn iaith glir",318,"2012-09-05 15:07:37","2013-09-24 08:34:53",7,NULL,"","",NULL,0
323,"free-printed-guides","Free printed guides","Canllawiau printiedig am ddim","Read our free printed guides, which give you clear, unbiased information and advice in Plain English","Darllenwch ein canllawiau printiedig am ddim, sy’n rhoi gwybodaeth glir, ddiduedd a chyngor mewn iaith glir",318,"2012-09-05 15:07:37","2013-09-24 08:34:53",8,NULL,"","",NULL,0
324,"videos","Videos","Fideos","See our videos, covering subjects such as insurance, retirement savings and inflation","Edrychwch ar ein fideos, yn trafod materion fel yswiriant, cynilo ar gyfer ymddeol a chwyddiant",318,"2012-09-05 15:07:37","2013-09-24 08:34:53",9,"","","","",0
327,"news","News & features","Newyddion ac erthyglau","Read our topical news articles and features.","Darllenwch ein newyddion, erthyglau ac erthyglau nodwedd ariannol amserol.",NULL,"2012-09-05 15:07:37","2014-06-12 15:04:37",5,"","","","",0
356,"Partners","Partners","Partners","The Partnerships team at the Money Advice Service are here to facilitate the syndication of our guides, news, tools and video onto your own website - free of charge - to provide your users with independent and unbiased advice on how to manage their money.","This page is not available in Welsh at this time. We apologise for any inconvenience.",NULL,"2013-07-18 09:42:01","2014-01-24 15:56:39",7,"babymoneytimeline.jpg","Working in partnership with the Money Advice Service","Working in partnership with the Money Advice Service","",0
362,"partners-universal-credit-banks","Anticipating the needs of customers affected by welfare reforms","Anticipating the needs of customers affected by welfare reforms","Find all you need to know about Universal Credit and what kind of banking queries you might face with Universal Credit customers.","Dysgwch bopeth sydd angen i chi wybod am Gredyd Cynhwysol a pa fath o ymholiadau bancio y gallech eu derbyn gan gwsmeriaid Credyd Cynhwysol.",NULL,"2013-10-30 11:38:10","2013-10-30 12:06:18",8,"","Anticipating the needs of customers affected by welfare reforms","Rhagweld anghenion cwsmeriaid a effeithir gan ddiwygiadau lles","",0
363,"partners-banks-universal-credit","Universal Credit. A frontline guide","Universal Credit. A frontline guide","An introduction to Universal Credit and what your customers may ask.","An introduction to Universal Credit and what your customers may ask.",NULL,"2013-10-30 16:02:17","2013-10-30 16:42:18",9,"","Universal Credit. A frontline guide","Universal Credit. A frontline guide","",0
364,"frontline-guide-test","Universal Credit.   A frontline guide","Universal Credit.  A frontline guide","test","test",NULL,"2013-10-31 09:23:35","2013-10-31 09:23:35",10,"","Universal Credit. A frontline guide","Universal Credit. A frontline guide","",0
365,"partners-uc-banks","Universal Credit. Frontline guide","Universal Credit. Frontline guide","An introduction to Universal Credit, why customers on Universal Credit need to open a bank account, and how you may be able to help them.","An introduction to Universal Credit and what your customers may ask.",NULL,"2013-10-31 09:27:12","2014-04-15 13:55:24",11,"","Universal Credit. Frontline guide","Universal Credit. Frontline guide","",0
374,"our-debt-work","Our Debt Work","Ein Gwaith Dyled","When people are struggling with debt it’s more important than ever that they have access to effective advice. We work with partners to make debt advice easier and quicker to access, and to improve standards and quality across the sector.","Pan fo pobl yn cael trafferthion gyda dyled mae'n bwysicach nag erioed eu bod yn cael mynediad i gyngor effeithlon. Gweithiwn gyda phartneriaid i'w gwneud yn rhwyddach chyflymach i gael cyngor ynghylch dyled, ac i wella safonau ac ansawdd ar draws sector.",NULL,"2013-12-02 16:56:32","2013-12-02 16:56:32",13,"","Our Debt Work - Money Advice Service","Ein Gwaith Dyled - Gwasanaeth Cynghori Ariannol","",0
378,"interactive-timelines","Interactive timelines","Amserlenni rhyngweithiol","Explore our money timelines so you know the actions to take and things that could affect your income","Ewch drwy ein llinellau amser arian i chi wybod beth i’w wneud a phethau a allai effeithio ar eich incwm",318,"2014-01-21 16:58:32","2014-01-21 16:58:32",11,"","Interactive timelines","Amserlenni rhyngweithiol","",0
