"article","category","ordinal"
"automatic-enrolment-into-a-workplace-pension","automatic-enrolment",NULL
"automatic-enrolment-what-to-expect-from-your-employer","automatic-enrolment",NULL
"make-the-most-of-automatic-enrolment","automatic-enrolment",NULL
"automatic-enrolment-if-you-have-debts","automatic-enrolment",NULL
"automatic-enrolment-if-youre-close-to-retirement","automatic-enrolment",NULL
"automatic-enrolment-if-youre-21-or-under","automatic-enrolment",NULL
"automatic-enrolment-if-you-earn-up-to-gbp9440","automatic-enrolment",NULL
"automatic-enrolment-if-youre-above-state-pension-age","automatic-enrolment",NULL
"workplace-pension-advice-tool","automatic-enrolment",NULL
"workplace-pension-changes-the-basics","automatic-enrolment",NULL
"workplace-pension-contribution-calculator","automatic-enrolment",NULL
"pension-calculator","automatic-enrolment",NULL
"do-you-need-to-borrow-money","before-you-borrow",1
"how-to-work-out-the-true-cost-of-borrowing","before-you-borrow",2
"debt-test","before-you-borrow",3
"payday-loans","before-you-borrow",4
"borrowing-and-credit-basics","before-you-borrow",5
"compare-the-cost-of-borrowing-gbp1000","before-you-borrow",6
"avoid-high-fees-and-hidden-borrowing-costs","before-you-borrow",7
"compare-the-cost-of-borrowing-gbp5000","before-you-borrow",8
"loan-calculator","before-you-borrow",9
"should-you-borrow-from-family-or-friends","before-you-borrow",10
"taking-out-a-joint-debt-or-loan-what-you-need-to-know","before-you-borrow",11
"secured-and-unsecured-borrowing-explained","before-you-borrow",12
"good-debt-versus-bad-debt","before-you-borrow",13
"working-out-a-repayment-plan-for-money-you-are-borrowing","before-you-borrow",14
"how-much-can-you-afford-to-borrow","before-you-borrow",15
"building-a-credit-history-as-a-young-consumer","before-you-borrow",16
"can-you-afford-to-borrow-money","before-you-borrow",17
"benefits-and-tax-credits-after-job-loss","benefits-at-work",1
"benefits-and-tax-credits-when-youve-lost-your-job","benefits-at-work",2
"pay-and-benefits-for-temps-and-agency-workers","benefits-at-work",3
"working-tax-credit","benefits-at-work",4
"cars-insurance-and-other-employee-benefits","benefits-at-work",5
"salary-sacrifice-schemes","benefits-at-work",6
"estimate-your-overall-buying-and-moving-costs","buying-a-home",1
"how-much-can-you-afford-to-borrow","buying-a-home",2
"money-timeline-when-buying-property-england-wales--n-ireland","buying-a-home",3
"stamp-duty-calculator","buying-a-home",4
"first-time-buyer-money-tips","buying-a-home",5
"help-to-buy-homebuy-and-other-housing-schemes","buying-a-home",6
"should-you-rent-or-buy","buying-a-home",7
"decide-whether-to-rent-or-buy","buying-a-home",8
"planning-for-the-cost-of-moving-day","buying-a-home",9
"leasehold-or-freehold-financial-implications","buying-a-home",10
"help-to-buy-scheme-everything-you-need-to-know","buying-a-home",11
"help-to-buy-schemes-faqs","buying-a-home",12
"right-to-buy-right-to-acquire-in-england-wales-and-n-ireland","buying-a-home",13
"right-to-buy-scotland","buying-a-home",14
"everything-you-need-to-know-about-stamp-duty","buying-a-home",15
"cost-timeline-for-buying-a-property-in-scotland","buying-a-home",16
"choosing-a-mortgage-shop-around-or-get-advice","buying-a-home",17
"the-newbuy-scheme","buying-a-home",18
"quick-house-sales","buying-a-home",19
"things-to-look-out-for-when-buying-property-overseas","buying-a-home",20
"shared-ownership-housing-schemes-explained","buying-a-home",21
"buying-a-home-how-to-avoid-the-most-common-mistakes","buying-a-home",22
"how-to-buy-and-sell-a-home-through-estate-agents","buying-a-home",23
"find-the-right-solicitor-or-conveyancer","buying-a-home",24
"how-to-apply-for-a-mortgage","buying-a-home",25
"a-guide-to-homebuyer-surveys-and-costs","buying-a-home",27
"what-you-need-to-know-about-contract-exchange-and-completion","buying-a-home",28
"saving-money-for-a-deposit","buying-a-home",29
"mortgage-affordability-calculator","calculators",1
"mortgage-calculator","calculators",2
"stamp-duty-calculator","calculators",3
"pension-calculator","calculators",4
"loan-calculator","calculators",5
"budget-planner","calculators",6
"divorce-and-separation-calculator","calculators",7
"car-costs-calculator","calculators",8
"savings-calculator","calculators",9
"cut-back-calculator","calculators",10
"baby-costs-calculator","calculators",11
"health-check","calculators",12
"cost-of-childcare-calculator","calculators",13
"workplace-pension-contribution-calculator","calculators",14
"money-stretcher","calculators",15
"credit-card-calculator","calculators",16
"debt-test","calculators",17
"workplace-pension-advice-tool","calculators",18
"budgeting-and-baby","calculators",19
"estimate-what-you-need-to-save-for-retirement","calculators",21
"christmas-money-planner","calculators",22
"car-insurance-choose-the-right-level-of-cover","car-insurance",2
"car-insurance-how-to-get-the-best-deal","car-insurance",3
"a-good-car-insurance-policy","car-insurance",4
"young-drivers-insurance","car-insurance",5
"car-insurance-when-driving-abroad","car-insurance",7
"do-you-need-gap-insurance","car-insurance",8
"car-insurance-for-young-drivers","car-insurance",9
"car-insurance-for-young-drivers-top-tips","car-insurance",10
"long-term-care-services-at-a-glance","care-advice-and-help",1
"planning-ahead-for-when-you-cant-manage-your-money","care-advice-and-help",2
"care-services-to-help-you-stay-in-your-own-home","care-advice-and-help",3
"preparing-for-illness-old-age-and-death","care-advice-and-help",4
"care-home-or-home-care","care-advice-and-help",5
"choosing-the-right-care-home","care-advice-and-help",6
"what-if-youre-unhappy-with-the-care-you-receive","care-advice-and-help",7
"how-to-challenge-your-local-authority-over-your-care","care-advice-and-help",8
"solving-problems-when-family-members-are-helping-with-your-money","care-advice-and-help",9
"using-a-personal-assistant-to-provide-your-care","care-advice-and-help",10
"when-does-someone-need-formal-help-with-managing-their-money","care-advice-and-help",11
"setting-up-a-power-of-attorney","care-advice-and-help",12
"setting-up-a-trust","care-advice-and-help",13
"being-a-trustee","care-advice-and-help",14
"resolving-problems-with-attorneys-and-trustees","care-advice-and-help",15
"changes-to-child-benefit-from-2013","child-benefit",1
"claiming-child-benefit","child-benefit",2
"claim-work-entitlements-when-pregnant","child-benefit",3
"arranging-child-maintenance-with-your-ex-partner","child-benefit",4
"benefits-and-entitlements-to-claim-when-you-have-a-baby","child-benefit",5
"child-tax-credit","child-benefit",6
"financial-support-if-you-or-your-child-has-a-disability","child-benefit",7
"managing-your-credit-card-account","credit-cards-and-credit-ratings",NULL
"deciding-whether-to-transfer-your-credit-card-balance","credit-cards-and-credit-ratings",NULL
"cashback-credit-cards","credit-cards-and-credit-ratings",NULL
"in-store-credit-and-hire-purchase","credit-cards-and-credit-ratings",NULL
"store-cards-explained","credit-cards-and-credit-ratings",NULL
"catalogue-credit-or-shopping-accounts","credit-cards-and-credit-ratings",NULL
"credit-card-calculator","credit-cards-and-credit-ratings",NULL
"credit-card-cheques","credit-cards-and-credit-ratings",NULL
"how-youre-protected-when-you-pay-by-card","credit-cards-and-credit-ratings",NULL
"charge-cards-explained","credit-cards-and-credit-ratings",NULL
"choosing-and-applying-for-a-credit-card","credit-cards-and-credit-ratings",NULL
"reclaiming-unfair-credit-card-charges","credit-cards-and-credit-ratings",NULL
"paying-off-your-credit-card","credit-cards-and-credit-ratings",NULL
"credit-and-debit-cards-a-quick-guide","credit-cards-and-credit-ratings",NULL
"what-to-do-if-you-have-been-refused-a-loan-or-credit-card","credit-cards-and-credit-ratings",NULL
"how-to-improve-your-credit-rating","credit-cards-and-credit-ratings",NULL
"how-your-credit-score-affects-the-cost-of-borrowing","credit-cards-and-credit-ratings",NULL
"how-to-check-your-credit-report","credit-cards-and-credit-ratings",NULL
"deciding-on-the-best-type-of-credit-for-you","credit-cards-and-credit-ratings",NULL
"getting-credit-for-the-first-time","credit-cards-and-credit-ratings",NULL
"ways-to-increase-your-credit-limit","credit-cards-and-credit-ratings",NULL
"credit-cards","credit-cards-and-credit-ratings",NULL
"credit-card-comparison-tables","credit-cards-and-credit-ratings",NULL
"save-money-on-your-home-phone-and-broadband","cutting-costs",NULL
"cut-your-home-phone-and-broadband-costs","cutting-costs",NULL
"save-money-on-your-mobile-phone","cutting-costs",NULL
"save-money-on-your-gas-and-bills","cutting-costs",NULL
"save-energy-save-money","cutting-costs",NULL
"cut-your-fuel-bills-with-the-green-deal","cutting-costs",NULL
"smarter-shopping---tips-and-tricks-to-save-money-when-shopping","cutting-costs",NULL
"how-to-pay-for-home-improvements","cutting-costs",NULL
"get-holidays-for-less","cutting-costs",NULL
"your-tips-for-paying-for-a-holiday","cutting-costs",NULL
"your-top-tips-for-buying-and-running-a-car","cutting-costs",NULL
"how-to-save-money-on-your-council-tax-bill","cutting-costs",NULL
"whats-the-best-way-to-finance-buying-a-car","cutting-costs",NULL
"paying-for-and-protecting-your-phone","cutting-costs",NULL
"cut-your-car-and-train-costs","cutting-costs",1
"save-money-on-your-water-bill","cutting-costs",1
"how-to-sort-out-your-finances-on-separation","divorce-and-separation",1
"how-to-sort-out-your-finances-on-divorce-or-dissolution","divorce-and-separation",2
"your-options-for-legal-or-financial-advice-on-separation","divorce-and-separation",3
"your-options-for-legal-or-financial-advice-on-divorce-or-dissolution","divorce-and-separation",4
"how-much-does-divorce-or-dissolution-cost","divorce-and-separation",5
"how-to-pay-legal-fees-when-you-separate","divorce-and-separation",6
"how-to-pay-legal-fees-on-divorce-or-dissolution","divorce-and-separation",7
"diy-do-it-yourself-divorce-or-dissolution","divorce-and-separation",8
"separation-agreements-instead-of-divorce-or-dissolution","divorce-and-separation",9
"separation-agreements-instead-of-divorce-or-dissolution-in-scotland","divorce-and-separation",10
"a-guide-to-international-divorce-or-dissolution","divorce-and-separation",11
"how-to-protect-your-finances-during-separation","divorce-and-separation",12
"how-to-protect-your-finances-during-divorce-or-dissolution","divorce-and-separation",13
"protecting-your-home-ownership-rights-during-separation","divorce-and-separation",14
"protecting-your-home-ownership-rights-during-divorce-or-dissolution","divorce-and-separation",15
"renting-protect-your-rights-to-your-home-during-separation","divorce-and-separation",16
"renting-your-rights-to-your-home-during-divorce-or-dissolution","divorce-and-separation",17
"protecting-against-financial-abuse","divorce-and-separation",18
"arranging-interim-maintenance-in-england-wales-northern-ireland","divorce-and-separation",19
"arranging-interim-aliment-in-scotland","divorce-and-separation",20
"how-to-arrange-child-maintenance","divorce-and-separation",21
"how-to-deal-with-problem-debt-after-separation","divorce-and-separation",22
"managing-your-household-budget-on-separation","divorce-and-separation",23
"benefits-you-may-be-entitled-to-if-you-are-separating","divorce-and-separation",24
"sort-out-joint-mortgage-bank-account-insurance-and-other-finances-with-your-ex-partner","divorce-and-separation",25
"dividing-the-family-home-and-mortgage-during-separation","divorce-and-separation",26
"dividing-the-family-home-and-mortgage-during-divorce-or-dissolution","divorce-and-separation",27
"dividing-the-family-home-on-separation-renting","divorce-and-separation",28
"dividing-the-family-home-on-divorce-or-dissolution-if-youre-renting","divorce-and-separation",29
"dividing-pensions-on-divorce-or-dissolution","divorce-and-separation",30
"how-to-divide-your-possessions-on-separation","divorce-and-separation",31
"dividing-investments-and-savings-when-you-separate","divorce-and-separation",32
"dividing-investments-and-savings-during-divorce-or-dissolution","divorce-and-separation",33
"dividing-business-interests-on-separation","divorce-and-separation",34
"dividing-business-interests-on-divorce-or-dissolution","divorce-and-separation",35
"what-to-do-with-childrens-accounts-and-savings-if-you-separate","divorce-and-separation",36
"clean-break-or-periodical-allowance-after-divorce-or-dissolution","divorce-and-separation",37
"clean-break-or-spousal-maintenance-after-divorce-or-dissolution","divorce-and-separation",38
"what-to-do-with-a-lump-sum-payment-after-divorce-or-dissolution","divorce-and-separation",39
"build-up-your-retirement-savings-after-divorce-or-dissolution","divorce-and-separation",40
"review-insurance-for-dependants-and-your-will-on-separation","divorce-and-separation",41
"review-insurance-for-dependants-and-your-will-during-divorce-or-dissolution","divorce-and-separation",42
